"Part";"Value";"Device";"Package";"Description";"DIGIKEY#";"DIGIKEY2#";"DIGIKEY3#";"DIGIKEY4#";"DIGIKEY5#";"DIGIKEY6#";"DIGIKEY7#";"MANF";"MANF#";"MANF2";"MANF2#";"MANF3";"MANF3#";"MANF4";"MANF4#";"MANF5";"MANF5#";"MANF6";"MANF6#";"MANF7";"MANF7#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"1V65";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"AGND";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BPF";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BRD1";"TEENSY_3.1-3.2_DIL+4";"TEENSY_3.1-3.2_DIL+4";"TEENSY_3.0-3.2&LC_DIL+4";"Teensy 3.1 and 3.2 in a DIL package with the inner 4 pins";"1568-1231-ND";"300-1002-ND";"SAM1198-14-ND";"SAM1198-14-ND";"S7038-ND";"S7047-ND";"S7047-ND";"SparkFun Electronics";"DEV-13736";"Citizen Finedevice Co Ltd";"CFS-20632768DZFB";"Samtec Inc.";"SSQ-114-03-G-S";"Samtec Inc.";"SSQ-114-03-G-S";"Sullins Connector Solutions";"PPPC051LFBN-RC";"Sullins Connector Solutions";"PPPC141LFBN-RC";"Sullins Connector Solutions";"PPPC141LFBN-RC";"";"";"";"";"";
"C7";"100nF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"BC1084CT-ND";"";"";"";"";"";"";"Vishay BC Components";"K104K15X7RF5TL2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"10µF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"478-8042-1-ND";"";"";"";"";"";"";"AVX Corporation";"TAP106K016SRW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"22µF";"C-US050-045X075";"C050-045X075";"CAPACITOR, American symbol";"445-8455-ND";"";"";"";"";"";"";"TDK Corporation";"FK20X7R1C226M";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"1µF";"C-US025-030X050";"C025-030X050";"CAPACITOR, American symbol";"445-5318-ND";"";"";"";"";"";"";"TDK Corporation";"FK14X7R1C105K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D$11";"BPV10NF";"BPV10NF";"LED5MM";"";"751-1002-ND";"";"";"";"";"";"";"Vishay Semiconductor Opto Division";"BPV10NF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"1N5817-T";"1N5817-T";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"1N5817FSCT-ND";"";"";"";"";"";"";"Fairchild Semiconductor";"1N5817";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"1N5817-T";"1N5817-T";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"1N5817FSCT-ND";"";"";"";"";"";"";"Fairchild Semiconductor";"1N5817";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMIT";"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"LM4041CILP";"LM4041CILP";"LP_O-PBCY-W3";"PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE Adjustable Output";"296-22173-1-ND";"";"";"";"";"";"";"Texas Instruments";"LM4041CILPR";"";"";"";"";"";"";"";"";"";"";"";"";"";"LM4041CILP";"1673945";"50M8856";"";
"IC2";"AD822N";"AD822N";"DIL08";"Single-Supply, Rail-to-Rail Low Power FET-Input Op Amp";"AD823ANZ-ND";"";"";"";"";"";"";"Analog Devices Inc.";"AD823ANZ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1438581";"unknown";"";
"IC3";"MCP6S21";"MCP6S21";"DIL08";"";"MCP6S91-E/P-ND";"";"";"";"";"";"";"Microchip Technology";"MCP6S91-E/P";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC4";"LP2950ACZ-3.3";"LP2950ACZ-3.3";"TO92";"Source: http://cache.national.com/ds/LP/LP2950.pdf";"LP2950ACZ-3.3/NOPB-ND";"";"";"";"";"";"";"Texas Instruments";"LP2950ACZ-3.3/NOPB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"RJ11-6PTH";"RJ11-6PTH";"RJ11-6";"RJ11 Jack";"AE10383-ND";"";"";"";"";"";"";"Assmann WSW Components";"A-2004-1-4-LP-N-R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED1";"LED";"1X02_3.5MM_LED";"1X02_3.5MM";"";"475-3002-ND";"492-1502-ND";"ED2740-ND";"";"";"";"";"OSRAM Opto Semiconductors Inc";"SFH 4547";"Bivar Inc";"CR-174";"On Shore Technology Inc.";"OSTTE020104";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED2";"LED3MM_WP937EGW";"LED3MM_WP937EGW";"LED3MM_H101C_BICOL";"";"754-1751-ND";"492-1789-ND";"";"";"";"";"";"Kingbright";"WP937EGW";"Bivar Inc.";"H-101C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"IRLB8721";"IRLB8721HORIZONTAL";"TO220BH";"";"IRLB8721PBF-ND";"";"";"";"";"";"";"Infineon Technologies";"IRLB8721PBF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"330R";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT330RCT-ND";"";"";"";"";"";"";"Stackpole Electronics Inc.";"CF14JT330R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"3K01";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"RNF14FTD3K01CT-ND";"";"";"";"";"";"";"Stackpole Electronics Inc.";"RNF14FTD3K01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"1K00";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"RNF14FTD1K00CT-ND";"";"";"";"";"";"";"Stackpole Electronics Inc.";"RNF14FTD1K00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"1M0";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"RNV14FAL1M00CT-ND";"";"";"";"";"";"";"Stackpole Electronics Inc";"RNV14FAL1M00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"8R2";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"S8.2HCT-ND";"";"";"";"";"";"";"Stackpole Electronics Inc.";"CFM12JT8R20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"1K65";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"1.65KXBK-ND";"";"";"";"";"";"";"Yageo";"MFR-25FBF52-1K65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"6K65";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"6.65KXBK-ND";"";"";"";"";"";"";"Yageo";"MFR-25FBF52-6K65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"4K7";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT4K70CT-ND";"";"";"";"";"";"";"Stackpole Electronics Inc";"CF14JT4K70";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R10";"133K";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"133KXBK-ND";"";"";"";"";"";"";"Yageo";"MFR-25FBF52-133K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"4K7";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT4K70CT-ND";"";"";"";"";"";"";"Stackpole Electronics Inc";"CF14JT4K70";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"330R";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT330RCT-ND";"";"";"";"";"";"";"Stackpole Electronics Inc.";"CF14JT330R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"330R";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT330RCT-ND";"";"";"";"";"";"";"Stackpole Electronics Inc.";"CF14JT330R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R14";"330R";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT150RCT-ND";"";"";"";"";"";"";"Stackpole Electronics Inc.";"CF14JT150R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T1";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"";"";"";"";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T2";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"";"";"";"";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TIA";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"LED3MM_H101C";"LED3MM_H101C";"LED3MM_H101C";"";"754-1595-ND";"492-1789-ND";"";"";"";"";"";"Kingbright";"WP710A10CGCK";"Bivar Inc.";"H-101C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"LED3MM_H101C";"LED3MM_H101C";"LED3MM_H101C";"";"754-1727-ND";"492-1789-ND";"";"";"";"";"";"Kingbright";"WP710A10SYD";"Bivar Inc.";"H-101C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
