"Part";"Value";"Device";"Package";"Description";"DIGIKEY#";"DIGIKEY2#";"DIGIKEY3#";"MANF";"MANF#";"MANF2";"MANF2#";"MANF3";"MANF3#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"LED2";"LED3MM_H101C";"LED3MM_H101C";"LED3MM_H101C";"";"754-1727-ND";"492-1789-ND";"";"Kingbright";"WP710A10SYD";"Bivar Inc.";"H-101C";"";"";"";"";"";"";
"Q1";"IRLB8721";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"";"";"Infineon Technologies";"IRLB8721PBF";"";"";"";"";"";"";"";"";
"R1";"330R";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT330RCT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT330R";"";"";"";"";"";"";"";"";
"R2";"3K01";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"RNF14FTD3K01CT-ND";"";"";"Stackpole Electronics Inc.";"RNF14FTD3K01";"";"";"";"";"";"";"";"";
"R3";"1K00";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"RNF14FTD1K00CT-ND";"";"";"Stackpole Electronics Inc.";"RNF14FTD1K00";"";"";"";"";"";"";"";"";
"R4";"1M0";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"RNV14FAL1M00CT-ND";"";"";"Stackpole Electronics Inc";"RNV14FAL1M00";"";"";"";"";"";"";"";"";
"R5";"6K65";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"6.65KXBK-ND";"";"";"Yageo";"MFR-25FBF52-6K65";"";"";"";"";"";"";"";"";
"R6";"8R2";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"S8.2HCT-ND";"";"";"Stackpole Electronics Inc.";"CFM12JT8R20";"";"";"";"";"";"";"";"";
"R7";"1K65";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"1.65KXBK-ND";"";"";"Yageo";"MFR-25FBF52-1K65";"";"";"";"";"";"";"";"";
"R8";"3K3";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT3K30CT-ND";"";"";"Stackpole Electronics Inc";"CF14JT3K30";"";"";"";"";"";"";"";"";
"R9";"133K";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"133KXBK-ND";"";"";"Yageo";"MFR-25FBF52-133K";"";"";"";"";"";"";"";"";
"R10";"10K";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT10K0CT-ND";"";"";"Stackpole Electronics Inc";"CF14JT10K0";"";"";"";"";"";"";"";"";
"R11";"10K";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT10K0CT-ND";"";"";"Stackpole Electronics Inc";"CF14JT10K0";"";"";"";"";"";"";"";"";
"R12";"1k5";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT1K50CT-ND";"";"";"Stackpole Electronics Inc";"CF14JT1K50";"";"";"";"";"";"";"";"";
"R13";"470R";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT470RCT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT470R";"";"";"";"";"";"";"";"";
"R14";"470R";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT470RCT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT470R";"";"";"";"";"";"";"";"";
"R15";"470R";"R-US_0207/5V";"0207/5V";"RESISTOR, American symbol";"CF14JT470RCT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT470R";"";"";"";"";"";"";"";"";
"R16";"33k";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"";"";"Stackpole Electronics Inc";"CF14JT33K0";"";"";"";"";"";"";"";"";
"R17";"330R";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"S330CACT-ND";"";"";"Stackpole Electronics Inc.";"RNMF14FTC330R";"";"";"";"";"";"";"";"";
"R18";"1K5";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT1K50CT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT1K50";"";"";"";"";"";"";"";"";
"R19";"1K5";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT1K50CT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT1K50";"";"";"";"";"";"";"";"";
"R20";"33K";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT33K0";"";"";"";"";"";"";"";"";
"R21";"33K";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT33K0";"";"";"";"";"";"";"";"";
"R22";"1K5";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT1K50CT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT1K50";"";"";"";"";"";"";"";"";
"R23";"1K5";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT1K50CT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT1K50";"";"";"";"";"";"";"";"";
"R24";"33K";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT33K0";"";"";"";"";"";"";"";"";
"R25";"33K";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"";"";"Stackpole Electronics Inc.";"CF14JT33K0";"";"";"";"";"";"";"";"";
"R26";"8.2R";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"S8.2HCT-ND";"";"";"Stackpole Electronics Inc.";"CFM12JT8R20";"";"";"";"";"";"";"";"";
"T1";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";"";"";
"T2";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";"";"";
"T3";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";"";"";
"T4";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";"";"";
"T5";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";"";"";
"T6";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";"";"";
