"Part";"Value";"Device";"Package";"Description";"DIGIKEY#";"DIGIKEY2#";"MANF";"MANF#";"MANF2";"MANF2#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"160-1139-ND";"";"Lite-On Inc";"LTL-4221N";"";"";"";"";"";"";
"Q1";"";"LTR-4206";"3MM_LED";"";"160-1030-ND";"";"Lite-On Inc";"LTR-4206E";"";"";"";"";"";"";
"Q2";"";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"";"";"";"";"";"";"";"";"";
"Q3";"";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"";"International Rectifier";"IRLB8721PBF";"";"";"";"";"";"";
"Q4";"";"IRLB8721";"TO220BV";"";"IRLB8721PBF-ND";"";"International Rectifier";"IRLB8721PBF";"";"";"";"";"";"";
"R1";"1K0";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"S1KCACT-ND ";"";"Stackpole Electronics Inc";"RNMF14FTC1K00";"";"";"";"";"";"";
"R2";"1K0";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"S1KCACT-ND ";"";"Stackpole Electronics Inc";"RNMF14FTC1K00";"";"";"";"";"";"";
"R3";"120";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S120CACT-ND";"";"Stackpole Electronics Inc";"RNMF14FTC120R";"";"";"";"";"";"";
"R4";"120";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S120CACT-ND";"";"Stackpole Electronics Inc";"RNMF14FTC120R";"";"";"";"";"";"";
"R5";"330K";"R-US_0309/V";"0309V";"RESISTOR, American symbol";"RNV14FAL330KCT-ND";"";"Stackpole Electronics Inc";"RNV14FAL330K";"";"";"";"";"";"";
"R6";"10K (1%)";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"S10KCACT-ND";"";"Stackpole Electronics Inc";"RNMF14FTC10K0";"";"";"";"";"";"";
"R7";"10K (1%)";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"S10KCACT-ND";"";"Stackpole Electronics Inc";"RNMF14FTC10K0";"";"";"";"";"";"";
"R8";"4K7";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S4.7KCACT-ND ";"";"Stackpole Electronics Inc";"RNMF14FTC4K70";"";"";"";"";"";"";
"R9";"4K7";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S4.7KCACT-ND";"";"Stackpole Electronics Inc";"RNMF14FTC4K70";"";"";"";"";"";"";
"R10";"4K7";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S4.7KQCT-ND";"";"Stackpole Electronics Inc";"CFM14JT4K70";"";"";"";"";"";"";
"R11";"4K7";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S4.7KQCT-ND";"";"Stackpole Electronics Inc";"CFM14JT4K70";"";"";"";"";"";"";
"R12";"330K";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"RNV14FAL330KCT-ND";"";"Stackpole Electronics Inc";"RNV14FAL330K";"";"";"";"";"";"";
"R13";"4K7";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S4.7KQCT-ND";"";"Stackpole Electronics Inc";"CFM14JT4K70";"";"";"";"";"";"";
"R14";"680K";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"S680KCACT-ND";"";"Stackpole Electronics Inc";"RNMF14FTC680K";"";"";"";"";"";"";
"R15";"6.2R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"PPC6.2W-1CT-ND";"";"Vishay BC Components";"PR01000106208JR500";"";"";"";"";"";"";
"R16";"330";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"CF14JT330RCT-ND ";"";"Stackpole Electronics Inc";"CF14JT330R";"";"";"";"";"";"";
"R21";"10R";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"RN1";"";"G08R";"SIL9";"SIL RESISTOR";"4609X-101-103LF-ND";"";"Bourns Inc.";"4609X-101-103LF";"";"";"";"";"unknown";"unknown";
"T1";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";
"T2";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";"";"";
"TM1";"10K";"TRIM_US-B25P";"B25P";"POTENTIOMETER";"3386P-103LF-ND";"";"Bourns Inc.";"3386P-1-103LF";"";"";"";"";"";"";
"TP1";"";"TEST_POINT";"1X02_SCREW";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"";"APE1F-5M-10-Z";"APE1F-5M-10Z";"";"563-1183-ND";"";"";"";"";"";"";"";"";"";
"U$6";"";"APE1F-5M-10-Z";"APE1F-5M-10Z";"";"563-1183-ND";"";"";"";"";"";"";"";"";"";
"U$8";"";"APE1F-5M-10-Z";"APE1F-5M-10Z";"";"563-1183-ND";"";"";"";"";"";"";"";"";"";
"U$9";"";"APE1F-5M-10-Z";"APE1F-5M-10Z";"";"563-1183-ND";"";"Copal Electronics Inc";"APE1F-5M-10-Z";"";"";"";"";"";"";
"U1";"MAX4544";"MAX4544";"DIL08";"";"MAX4544CPA+-ND";"AE9986-ND";"Maxim Integrated";"MAX4544CPA+";"";"";"";"";"";"";
"U2";"";"DC-IN-PANEL-NODETECT";"1X02_SCREW";"";"CP-5-ND";"";"CUI Inc";"PJ-005A";"";"";"";"";"";"";
"U3";"";"ARDUINOMICRO";"ARDUINOMICRO";"";"1050-1066-ND";"S7050-ND x 2";"Arduino";"A000053";"Sullins Connector Solutions";"PPPC171LFBN-RC";"";"";"";"";
"U4";"MotA";"1X02_MOTOR";"1X02_SCREW";"";"SC1455-ND";"";"Switchcraft Inc.";"35PM1";"";"";"";"";"";"";
